iterations,fitness,time,fevals
4180,87.0,0.018445443,4191
4190,87.0,0.018483734,4201
4200,87.0,0.018520201,4211
4210,87.0,0.018557032,4221
4220,87.0,0.018593134,4231
4230,87.0,0.01865294,4241
4240,87.0,0.018686854,4251
4250,87.0,0.018720768,4261
4260,87.0,0.018754318,4271
4270,87.0,0.018804643,4281
4280,87.0,0.018889612,4291
4290,87.0,0.018933008,4301
4300,87.0,0.018966922,4311
4310,87.0,0.019018341,4321
4320,87.0,0.019051161,4331
4330,87.0,0.019083982,4341
4340,87.0,0.01911972,4351
4350,89.0,0.019156551,4361
4360,89.0,0.019192653,4371
4370,89.0,0.019227297,4381
4380,89.0,0.019260117,4391
4390,89.0,0.019303148,4401
4400,89.0,0.019336333,4411
4410,89.0,0.019370977,4421
4420,89.0,0.019402704,4431
4430,89.0,0.019438077,4441
4440,89.0,0.01948986,4451
4450,89.0,0.019524504,4461
4460,89.0,0.019567171,4471
4470,90.0,0.019603273,4481
4480,90.0,0.01963427,4491
4490,90.0,0.019669278,4501
4500,90.0,0.019705016,4511
4510,90.0,0.01973893,4521
4520,90.0,0.019771021,4531
4530,90.0,0.019824993,4541
4540,90.0,0.019860731,4551
4550,90.0,0.01989574,4561
4560,90.0,0.019930384,4571
4570,90.0,0.019963569,4581
4580,90.0,0.019999672,4591
4590,90.0,0.020031398,4601
4600,90.0,0.020090839,4611
4610,90.0,0.020125847,4621
4620,90.0,0.020180912,4631
4630,91.0,0.020215556,4641
4640,91.0,0.020264422,4651
4650,91.0,0.020300525,4661
4660,92.0,0.020334075,4671
4670,93.0,0.020376742,4681
4680,93.0,0.020458429,4691
4690,93.0,0.020493072,4701
4700,93.0,0.020527351,4711
4710,93.0,0.02056783,4721
4720,93.0,0.020601744,4731
4730,93.0,0.020635659,4741
4740,93.0,0.020700571,4751
4750,93.0,0.020739591,4761
4760,93.0,0.020770952,4771
4770,93.0,0.020805596,4781
4780,93.0,0.020870508,4791
4790,93.0,0.020922656,4801
4800,93.0,0.0209573,4811
4810,93.0,0.020992309,4821
4820,93.0,0.02102914,4831
