,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1027,0.25675415992736816,0.01831836393010758,0.007649087905883789,0.006992471534895122,0.0001,"(32,)",21,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'filter__n': 21}",0.9976190476190476,1.0,0.9892857142857143,0.9904761904761905,0.9952380952380953,0.9945238095238096,0.004096345365258379,322
1028,0.25100860595703123,0.008552083799752135,0.0031253337860107423,0.0062506675720214845,0.0001,"(32,)",22,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'filter__n': 22}",0.9928571428571429,0.9940476190476191,0.9928571428571429,0.9952380952380953,1.0,0.9949999999999999,0.002651316363252382,277
1029,0.2569249629974365,0.021351570648907064,0.0031391143798828124,0.006278228759765625,0.0001,"(32,)",23,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'filter__n': 23}",0.9976190476190476,0.9892857142857143,0.9952380952380953,0.9976190476190476,0.9928571428571429,0.9945238095238096,0.003158690276528941,322
1030,0.2672128677368164,0.009913093911384343,0.005567169189453125,0.006902934173283767,0.0001,"(32,)",24,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'filter__n': 24}",0.9904761904761905,0.9940476190476191,0.9809523809523809,0.9785714285714285,0.9928571428571429,0.9873809523809524,0.006370994362028436,1011
1031,0.28303236961364747,0.012789323137971953,0.0031404495239257812,0.0062808990478515625,0.0001,"(32,)",25,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'filter__n': 25}",0.9976190476190476,1.0,0.9952380952380953,0.9892857142857143,0.9964285714285714,0.9957142857142858,0.0035793562805649655,224
1032,0.29063868522644043,0.024117465993867427,0.003565263748168945,0.006124843416362651,0.0001,"(32,)",26,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'filter__n': 26}",0.9928571428571429,1.0,0.9976190476190476,0.9880952380952381,0.9952380952380953,0.9947619047619047,0.004096345365258379,289
1033,0.2762392520904541,0.025490669850328416,0.006263113021850586,0.007670747797090204,0.0001,"(32,)",27,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'filter__n': 27}",0.9809523809523809,0.9928571428571429,0.9857142857142858,0.9904761904761905,0.9976190476190476,0.9895238095238096,0.0057538314159974275,817
1034,0.25194592475891114,0.02871047151142323,0.00625004768371582,0.007654713891510747,0.0001,"(32,)",28,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'filter__n': 28}",0.986904761904762,0.9964285714285714,0.9845238095238096,0.9773809523809524,1.0,0.9890476190476191,0.00819269073051679,870
1035,0.2822838306427002,0.03612616477162981,0.007529115676879883,0.007095111317470616,0.0001,"(32,)",29,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'filter__n': 29}",1.0,1.0,0.9726190476190476,0.9880952380952381,0.9976190476190476,0.9916666666666668,0.010487007402640594,603
1036,0.26249098777770996,0.022496432083947276,0.0,0.0,0.0001,"(32,)",30,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'filter__n': 30}",0.986904761904762,0.9976190476190476,0.9785714285714285,0.9797619047619047,0.9738095238095238,0.9833333333333334,0.00828215577663149,1184
1037,0.2513072967529297,0.014230810245088708,0.006773185729980469,0.005606773313170408,0.0001,"(32,)",31,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'filter__n': 31}",0.9761904761904762,0.986904761904762,0.9928571428571429,0.9833333333333333,0.9964285714285714,0.9871428571428572,0.007119007803679093,1018
1038,0.26585097312927247,0.020681232072931252,0.0062464714050292965,0.007650333823547996,0.0001,"(32,)",32,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'filter__n': 32}",0.986904761904762,0.986904761904762,0.9833333333333333,0.9773809523809524,0.9988095238095238,0.9866666666666667,0.006998542122237667,1055
1039,0.2729976654052734,0.006405184976149692,0.0008690357208251953,0.0017380714416503906,0.0001,"(32,)",33,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'filter__n': 33}",0.9928571428571429,0.9833333333333333,0.9845238095238096,0.9833333333333333,0.9952380952380953,0.987857142857143,0.005128728387747168,974
1040,0.26958861351013186,0.01952258962612473,0.0008171558380126953,0.0016343116760253905,0.0001,"(32,)",34,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'filter__n': 34}",0.9904761904761905,0.9940476190476191,0.9928571428571429,0.9952380952380953,0.9940476190476191,0.9933333333333334,0.0016148404721726772,426
1041,0.27686262130737305,0.008367539756466981,0.008861923217773437,0.0073351823323437836,0.0001,"(32,)",35,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'filter__n': 35}",0.9904761904761905,0.9904761904761905,0.9952380952380953,0.9809523809523809,0.9988095238095238,0.9911904761904762,0.006004533434723108,649
1042,0.2794386386871338,0.02279232896729037,0.011454629898071288,0.006521228082906603,0.0001,"(32,)",36,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'filter__n': 36}",0.9833333333333333,0.9952380952380953,0.9952380952380953,0.9952380952380953,0.9988095238095238,0.9935714285714287,0.005302632726504806,393
1043,0.2708573341369629,0.022886548707607732,0.008136796951293945,0.007005092881594977,0.0001,"(32,)",37,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'filter__n': 37}",0.9928571428571429,0.9785714285714285,0.9952380952380953,0.9952380952380953,0.9880952380952381,0.99,0.006281383789653789,760
